param,param_mean,group,hdi_low,hdi_high,param_std
mu_Arew,0.7166040062879937,patient,-0.15751813502692347,-0.11745839764818555,0.008065760880346745
mu_Arew,0.5087413900436148,control,-0.19420293615925172,-0.14978641530205805,0.0062934300308948345
mu_Arew,0.6808413307353564,patient,-0.19420293615925172,-0.14978641530205805,0.010042666187006253
mu_Arew,0.5515786619436874,control,-0.09797530360433682,-0.06483840930037121,0.006379418034302465
mu_Arew,0.6336475192404074,patient,-0.09797530360433682,-0.06483840930037121,0.0061832442088486286
mu_Arew,0.4950894940331768,control,-0.18821239577018867,-0.1554865444025859,0.005542326478553331
mu_Arew,0.6671385432236488,patient,-0.18821239577018867,-0.1554865444025859,0.0067530433434663
mu_Arew,0.5259394852445697,control,-0.15183219936452075,-0.11618324504725097,0.005637853105347182
mu_Arew,0.6599447020656773,patient,-0.15183219936452075,-0.11618324504725097,0.007595709298417993
mu_Arew,0.5122786734386215,control,-0.25010036844185835,-0.21385849978038307,0.005001787723879347
mu_Arew,0.7437558515777097,patient,-0.25010036844185835,-0.21385849978038307,0.008374699650694872
mu_Arew,0.5515786619436874,control,-0.21620829671021413,-0.17580800689952403,0.006379418034302465
mu_Arew,0.7471462171458073,patient,-0.21620829671021413,-0.17580800689952403,0.008714845642124922
mu_Arew,0.5788261940950613,control,-0.10591687985330434,-0.06188821919962273,0.0069574258301544935
mu_Arew,0.663123658301734,patient,-0.10591687985330434,-0.06188821919962273,0.009380991572661682
mu_Arew,0.5758346436841801,control,-0.17448819119962333,-0.13256478625696033,0.005872544810587875
mu_Arew,0.7306257510782461,patient,-0.17448819119962333,-0.13256478625696033,0.009488187188245595
mu_Arew,0.5788261940950613,control,-0.09341002038526613,-0.0534590252719791,0.0069574258301544935
mu_Arew,0.6515098338293601,patient,-0.09341002038526613,-0.0534590252719791,0.008071403090745936
mu_Arew,0.5362375942380787,control,-0.1680560309020177,-0.13364570362327022,0.005997363695746773
mu_Arew,0.6867803781874044,patient,-0.1680560309020177,-0.13364570362327022,0.006837898332204427
mu_Arew,0.524823464140038,control,-0.14590143498641817,-0.11237108853999633,0.00600338149650002
mu_Arew,0.6544696624562274,patient,-0.14590143498641817,-0.11237108853999633,0.006685909525161556
mu_Arew,0.5515786619436874,control,-0.18180348483560915,-0.1413197916676049,0.006379418034302465
mu_Arew,0.7139588270467472,patient,-0.18180348483560915,-0.1413197916676049,0.008579881961220198
mu_Arew,0.5268902961494165,control,-0.17560873234193308,-0.13175166138971228,0.00596238756734011
mu_Arew,0.6808413307353564,patient,-0.17560873234193308,-0.13175166138971228,0.010042666187006253
mu_Arew,0.5176165198492844,control,-0.17647673816637865,-0.1348497037001285,0.005601715570435004
mu_Arew,0.6725443476216195,patient,-0.17647673816637865,-0.1348497037001285,0.009587458914702491
mu_Arew,0.5702236230341938,control,-0.11455325018484508,-0.07945412754567605,0.0065282241898604616
mu_Arew,0.6671385432236488,patient,-0.11455325018484508,-0.07945412754567605,0.0067530433434663
mu_Arew,0.5433736296211206,control,-0.1283610178745077,-0.08711841756448269,0.006100993075444218
mu_Arew,0.6515884325232951,patient,-0.1283610178745077,-0.08711841756448269,0.009129201346475704
mu_Arew,0.5166999295150896,control,-0.16091452870006295,-0.12517291214848447,0.005744039546944257
mu_Arew,0.6599447020656773,patient,-0.16091452870006295,-0.12517291214848447,0.007595709298417993
mu_Arew,0.5633143152217285,control,-0.17172428717865484,-0.13394298158246887,0.005914630516594
mu_Arew,0.7166040062879937,patient,-0.17172428717865484,-0.13394298158246887,0.008065760880346745
mu_Arew,0.5268902961494165,control,-0.15593263834164128,-0.11450789836795572,0.00596238756734011
mu_Arew,0.663123658301734,patient,-0.15593263834164128,-0.11450789836795572,0.009380991572661682
mu_Arew,0.5873506470332872,control,-0.20082506747621398,-0.15080887486304917,0.006619354630537481
mu_Arew,0.7623742576328192,patient,-0.20082506747621398,-0.15080887486304917,0.011561758280202455
mu_Arew,0.5788261940950613,control,-0.09423747586005804,-0.051812044013771485,0.0069574258301544935
mu_Arew,0.6515884325232951,patient,-0.09423747586005804,-0.051812044013771485,0.009129201346475704
mu_Arew,0.524823464140038,control,-0.242181956331587,-0.2021028614083249,0.00600338149650002
mu_Arew,0.7471462171458073,patient,-0.242181956331587,-0.2021028614083249,0.008714845642124922
mu_Arew,0.5166999295150896,control,-0.12659473309011682,-0.09012237884738439,0.005744039546944257
mu_Arew,0.6257599673427946,patient,-0.12659473309011682,-0.09012237884738439,0.00785412708256341
mu_Arew,0.5873506470332872,control,-0.20142786463247042,-0.14891203800305497,0.006619354630537481
mu_Arew,0.7616237101056393,patient,-0.20142786463247042,-0.14891203800305497,0.012500953134025614
mu_Arew,0.5873506470332872,control,-0.09754410003910696,-0.061643396970641584,0.006619354630537481
mu_Arew,0.6671385432236488,patient,-0.09754410003910696,-0.061643396970641584,0.0067530433434663
mu_Arew,0.5633143152217285,control,-0.08663474175251307,-0.05410372313604639,0.005914630516594
mu_Arew,0.6336475192404074,patient,-0.08663474175251307,-0.05410372313604639,0.0061832442088486286
mu_Arew,0.5166999295150896,control,-0.186924039862291,-0.1534815782208525,0.005744039546944257
mu_Arew,0.6867803781874044,patient,-0.186924039862291,-0.1534815782208525,0.006837898332204427
mu_Arew,0.5730308809497341,control,-0.07640411748028852,-0.04521819026673923,0.005609032999358125
